Date       Time,Pres,Depth,temp-.01,temp0,temp5,Conduct,TDS,salinity,spec_grav
2017-07-22 11:44:28,7317.12,64.171,12.56,12.62,12.63,35761,19314,22.20,1.018
2017-07-22 11:44:34,7317.12,64.171,12.56,12.62,12.63,35781,19323,22.21,1.018
2017-07-22 11:44:40,7316.60,64.166,12.56,12.62,12.57,35801,19332,22.23,1.018
2017-07-22 11:44:46,7316.33,64.163,12.56,12.62,12.63,35801,19334,22.23,1.018
2017-07-22 11:44:52,7317.23,64.173,12.56,12.62,12.63,35811,19340,22.23,1.018
2017-07-22 11:44:58,7316.97,64.170,12.56,12.62,12.63,35831,19349,22.25,1.018
2017-07-22 11:45:05,7316.44,64.164,12.56,12.62,12.63,35841,19358,22.26,1.018
2017-07-22 11:45:11,7316.18,64.162,12.56,12.62,12.63,35841,19358,22.26,1.018
2017-07-22 11:45:17,7316.81,64.168,12.56,12.62,12.63,35861,19367,22.27,1.018
2017-07-22 11:45:23,7316.29,64.163,12.56,12.62,12.57,35871,19370,22.27,1.018
2017-07-22 11:45:29,7316.66,64.167,12.56,12.62,12.57,35881,19377,22.28,1.018
2017-07-22 11:45:36,7316.40,64.164,12.56,12.62,12.57,35891,19385,22.29,1.018
2017-07-22 11:45:42,7317.56,64.176,12.56,12.62,12.63,35901,19390,22.30,1.018
2017-07-22 11:45:48,7318.46,64.185,12.56,12.62,12.57,35921,19398,22.31,1.018
2017-07-22 11:45:54,7317.03,64.170,12.56,12.62,12.63,35931,19403,22.31,1.018
2017-07-22 11:46:00,7316.50,64.165,12.56,12.62,12.57,35941,19411,22.33,1.018
2017-07-22 11:46:06,7318.83,64.189,12.56,12.62,12.57,35951,19416,22.33,1.018
2017-07-22 11:46:13,7317.40,64.174,12.56,12.62,12.63,35981,19430,22.35,1.018
2017-07-22 11:46:19,7317.13,64.171,12.56,12.62,12.63,35981,19430,22.35,1.018
2017-07-22 11:46:25,7317.77,64.178,12.56,12.62,12.63,35991,19439,22.36,1.018
2017-07-22 11:46:31,7317.50,64.175,12.56,12.62,12.57,36001,19445,22.37,1.018
2017-07-22 11:46:37,7318.14,64.182,12.56,12.62,12.63,36021,19451,22.38,1.018
2017-07-22 11:46:44,7316.98,64.170,12.56,12.62,12.63,36031,19457,22.39,1.018
2017-07-22 11:46:50,7317.87,64.179,12.56,12.62,12.63,36031,19457,22.39,1.018
2017-07-22 11:46:56,7316.18,64.162,12.56,12.62,12.63,36041,19462,22.39,1.018
2017-07-22 11:47:02,7317.08,64.171,12.56,12.62,12.63,36051,19470,22.40,1.018
2017-07-22 11:47:08,7318.24,64.183,12.56,12.62,12.63,36061,19476,22.41,1.018
2017-07-22 11:47:15,7317.71,64.177,12.56,12.62,12.63,36061,19477,22.41,1.018
