Date       Time,Pres,Depth M,Depth ft,temp-.01,temp0c,temp0f,temp3.8,Conduct,TDS,salinity,spec_grav
2017-08-07 10:32:58,9060.40,-82.027,-269.117,13.12,13.19,55.74,13.01,31200,16852,19.14,1.016
2017-08-07 10:33:02,9064.22,-82.066,-269.245,13.12,13.19,55.74,13.01,31200,16852,19.14,1.016
2017-08-07 10:33:06,9056.91,-81.991,-269.000,13.12,13.19,55.74,13.01,31190,16847,19.14,1.016
2017-08-07 10:33:11,9060.07,-82.023,-269.106,13.12,13.19,55.74,13.01,31200,16850,19.14,1.016
2017-08-07 10:33:15,9063.23,-82.056,-269.212,13.12,13.19,55.74,13.01,31190,16843,19.13,1.016
2017-08-07 10:33:19,9062.07,-82.044,-269.173,13.12,13.19,55.74,13.01,31190,16847,19.14,1.016
2017-08-07 10:33:23,9059.41,-82.017,-269.084,13.12,13.19,55.74,13.01,31190,16847,19.14,1.016
2017-08-07 10:33:27,9059.08,-82.013,-269.073,13.12,13.19,55.74,13.01,31180,16841,19.13,1.016
2017-08-07 10:33:31,9060.24,-82.025,-269.112,13.12,13.19,55.74,13.01,31200,16849,19.14,1.016
2017-08-07 10:33:36,9058.75,-82.010,-269.062,13.12,13.19,55.74,13.01,31200,16848,19.14,1.016
2017-08-07 10:33:40,9058.75,-82.010,-269.062,13.12,13.25,55.85,13.01,31150,16824,19.11,1.016
2017-08-07 10:33:44,9059.25,-82.015,-269.078,13.12,13.19,55.74,13.01,31200,16850,19.14,1.016
2017-08-07 10:33:48,9055.76,-81.980,-268.962,13.12,13.19,55.74,13.01,31200,16852,19.14,1.016
2017-08-07 10:33:52,9060.08,-82.024,-269.106,13.06,13.19,55.74,13.01,31200,16853,19.15,1.016
2017-08-07 10:33:56,9057.76,-82.000,-269.028,13.06,13.19,55.74,13.01,31200,16853,19.15,1.016
2017-08-07 10:34:01,9058.59,-82.008,-269.056,13.12,13.19,55.74,13.01,31200,16849,19.14,1.016
2017-08-07 10:34:05,9058.59,-82.008,-269.056,13.06,13.19,55.74,13.01,31200,16853,19.15,1.016
2017-08-07 10:34:09,9058.59,-82.008,-269.056,13.06,13.19,55.74,13.01,31190,16846,19.14,1.016
2017-08-07 10:34:13,9061.75,-82.041,-269.162,13.12,13.19,55.74,13.01,31190,16847,19.14,1.016
2017-08-07 10:34:18,9056.77,-81.990,-268.995,13.12,13.19,55.74,13.01,31190,16845,19.14,1.016
2017-08-07 10:34:22,9057.93,-82.002,-269.034,13.06,13.25,55.85,13.01,31130,16811,19.10,1.016
2017-08-07 10:34:26,9058.76,-82.010,-269.062,13.06,13.25,55.85,13.01,31140,16818,19.11,1.016
2017-08-07 10:34:31,9059.60,-82.019,-269.090,13.06,13.25,55.85,13.01,31130,16814,19.10,1.016
2017-08-07 10:34:35,9058.10,-82.003,-269.040,13.12,13.25,55.85,13.07,31140,16820,19.11,1.016
2017-08-07 10:34:39,9061.59,-82.039,-269.157,13.06,13.25,55.85,13.01,31070,16779,19.06,1.016
2017-08-07 10:34:43,9059.26,-82.015,-269.079,13.12,13.25,55.85,13.01,31150,16823,19.11,1.016
2017-08-07 10:34:47,9057.77,-82.000,-269.029,13.06,13.25,55.85,13.01,31150,16825,19.11,1.016
2017-08-07 10:34:51,9059.77,-82.020,-269.096,13.12,13.19,55.74,13.01,31200,16852,19.14,1.016
2017-08-07 10:34:56,9058.60,-82.009,-269.057,13.06,13.19,55.74,13.01,31200,16850,19.14,1.016
2017-08-07 10:35:00,9053.62,-81.958,-268.890,13.12,13.19,55.74,13.01,31200,16852,19.14,1.016
2017-08-07 10:35:04,9055.95,-81.981,-268.968,13.12,13.19,55.74,13.01,31200,16852,19.14,1.016
2017-08-07 10:35:09,9056.78,-81.990,-268.996,13.06,13.19,55.74,13.01,31200,16850,19.14,1.016
2017-08-07 10:35:14,9054.45,-81.966,-268.918,13.06,13.19,55.74,13.01,31210,16854,19.15,1.016
2017-08-07 10:35:18,9057.61,-81.998,-269.024,13.06,13.19,55.74,13.01,31200,16850,19.14,1.016
2017-08-07 10:35:23,9059.93,-82.022,-269.101,13.06,13.19,55.74,13.01,31200,16853,19.15,1.016
2017-08-07 10:35:27,9060.77,-82.031,-269.129,13.06,13.19,55.74,13.01,31210,16856,19.15,1.016
2017-08-07 10:35:31,9058.44,-82.007,-269.051,13.06,13.19,55.74,13.01,31200,16853,19.15,1.016
2017-08-07 10:35:35,9059.27,-82.015,-269.079,13.06,13.19,55.74,13.01,31200,16852,19.14,1.016
2017-08-07 10:35:39,9056.95,-81.992,-269.001,13.06,13.19,55.74,13.01,31140,16816,19.10,1.016
2017-08-07 10:35:43,9060.10,-82.024,-269.107,13.06,13.19,55.74,13.01,31200,16848,19.14,1.016
2017-08-07 10:35:47,9058.94,-82.012,-269.068,13.12,13.19,55.74,13.01,31190,16847,19.14,1.016
2017-08-07 10:35:52,9055.96,-81.982,-268.968,13.06,13.19,55.74,13.01,31200,16850,19.14,1.016
2017-08-07 10:35:56,9060.61,-82.029,-269.124,13.06,13.19,55.74,13.01,31200,16852,19.14,1.016
2017-08-07 10:36:00,9056.79,-81.990,-268.996,13.12,13.19,55.74,13.01,31190,16846,19.14,1.016
2017-08-07 10:36:04,9056.45,-81.987,-268.985,13.06,13.19,55.74,13.01,31190,16846,19.14,1.016
2017-08-07 10:36:08,9058.45,-82.007,-269.052,13.12,13.19,55.74,13.01,31200,16850,19.14,1.016
